キャラ名,スキル名,レベル,発動条件,スキル効果,スタミナ,CT,オプション1,オプション2,オプション3,オプション4
長瀬琴乃,スコアUPスキル,4,集目状態の時,自身に5段階スコア上昇効果[28ビート] ライブ中2回のみ,751,60,ダンス,ボーカル,メンタル,Aスコア
長瀬琴乃,クリティカルスキル,4,ビート時,自身に4段階クリティカル係数上昇効果[40ビート] ライブ中2回のみ 確率10%,684,70,ボーカル,ビジュアル,クリティカル,SPスコア
長瀬琴乃,ビジュアルスキル,4,クリティカル率アップ状態の時,自身に4段階ビジュアル上昇効果[17ビート] ライブ中2回のみ,679,60,ビジュアル,ダンス,スタミナ,クリティカルスコア
長瀬琴乃,被・Da延長スキル(☆9),4,×,×,×,×,ダンス,ビジュアル,メンタル,ビートスコア
伊吹渚,スタミナ回復スキル,4,ビート時,自身のスタミナを2500回復 確率10%,504,45,ダンス,ボーカル,スタミナ,ビートスコア
伊吹渚,ボーカルUPスキル,4,クリティカル発動時,自身に3段階ボーカル上昇効果[20ビート],598,60,ボーカル,ビジュアル,メンタル,ビートスコア
伊吹渚,スコア獲得スキル,4,ビート時,80%のスコア獲得 自身に3段階消費スタミナ低下効果[29ビート] 確率10% ライブ中2回のみ,666,60,ビジュアル,ダンス,クリティカル,クリティカルスコア
伊吹渚,AスキルUPスキル(☆9),4,×,自身に4段階Aスキルスコア上昇効果[60ビート] ライブ中1回のみ,1008,×,ボーカル,ダンス,メンタル,SPスコア
白石沙季,スタミナ回復スキル,4,クリティカル発動時,自身のスタミナを3000回復,607,60,ビジュアル,ボーカル,クリティカル,Aスコア
白石沙季,ダンスUPスキル,4,誰かがSPスキル発動前,対象1人に4段階ダンス上昇効果[16ビート],639,60,ダンス,ビジュアル,スタミナ,クリティカルスコア
白石沙季,スコア獲得スキル,4,ビート時,70%のスコア獲得 確率10%,549,50,ボーカル,ダンス,メンタル,ビートスコア
白石沙季,ビジュアルUPスキル(☆9),4,スコア上昇状態の時,自身に2段階ビジュアル上昇効果[26ビート],522,50,ボーカル,ビジュアル,クリティカル,Aスコア
成宮すず,ビジュアルUPスキル,4,ビート時,自身に3段階ビジュアル上昇効果[18ビート] 確率10%,540,50,ビジュアル,ボーカル,スタミナ,SPスコア
成宮すず,クリティカル率スキル,4,50コンボ以上時,自身に4段階クリティカル率上昇効果[28ビート],598,60,ビジュアル,ボーカル,クリティカル,SPスコア
成宮すず,スコア獲得スキル,4,スタミナ50％以下の時,50％のスコア獲得 自身のCTを6減少,661,60,ボーカル,ビジュアル,メンタル,ビートスコア
成宮すず,AスキルUPスキル(☆9),4,×,×,×,×,ボーカル,ダンス,スタミナ,クリティカルスコア
早坂芽衣,スコア獲得スキル,4,スコア上昇状態の時,70%のスコア獲得,549,50,ダンス,ボーカル,クリティカル,Aスコア
早坂芽衣,スコア獲得スキル,4,50コンボ以上時,50%のスコア獲得 自身に2段階ビートスコア上昇効果[19ビート],553,50,ビジュアル,ダンス,スタミナ,SPスコア
早坂芽衣,スタミナ回復スキル,4,スタミナ70%以下の時,自身のスタミナを3000回復,607,60,ボーカル,ビジュアル,メンタル,ビートスコア
早坂芽衣,強化効果延長スキル(☆9),4,ビジュアル上昇効果の時,自身の強化効果を6延長,661,69,ボーカル,ビジュアル,クリティカル,クリティカルスコア
川咲さくら,スコア獲得スキル,4,ビート時,70%のスコア獲得 確率10%,549,50,ボーカル,ダンス,メンタル,ビートスコア
川咲さくら,ダンスUPスキル,4,誰かがSPスキル発動前,対象1人に4段階ダンス上昇効果[16ビート],639,60,ボーカル,ダンス,クリティカル,SPスコア
川咲さくら,スタミナ回復スキル,4,クリティカル発動時,自身のスタミナを3000回復,607,60,ダンス,ボーカル,スタミナ,ビートスコア
川咲さくら,強化効果延長スキル(☆9),4,ダンス上昇状態の時,×,×,×,ダンス,ビジュアル,メンタル,ビートスコア
兵藤雫,ボーカルUPスキル,4,×,スタミナが高い1人に3段階ボーカル上昇効果[19ビート],571,60,ボーカル,ビジュアル,クリティカル,クリティカルスコア
